timeSlice: 20 blockDuration: 30
0   Q   20  P
20  Q   20  P
40  Q   10  B
50  (IDLE) 30  I
80  Q   20  P
100 Q   20  P
120 Q   10  B
130 R   20  B
150 (IDLE) 10  I
160 Q   20  P
180 R   20  B
200 Q   20  P
220 Q   10  B
230 R   20  B
250 (IDLE) 10  I
260 Q   20  P
280 R   20  B
300 Q   20  P
320 Q   10  B
330 R   20  B
350 (IDLE) 10  I
360 Q   20  P
380 R   20  B
400 Q   20  P
420 Q   10  B
430 R   20  B
450 S   20  P
470 Q   20  P
490 R   20  B
510 S   20  P
530 Q   20  P
550 R   20  B
570 S   10  B
580 Q   10  B
590 (IDLE) 10  I
600 R   20  B
620 S   20  P
640 Q   20  P
660 R   20  B
680 S   20  P
700 Q   20  P
720 R   20  B
740 S   10  B
750 Q   10  B
760 (IDLE) 10  I
770 R   20  B
790 S   20  P
810 Q   20  P
830 R   20  B
850 S   20  P
870 Q   20  P
890 R   20  T
910 S   10  B
920 Q   10  B
930 (IDLE) 20  I
950 S   20  P
970 Q   20  P
990 S   20  P
1010 Q   20  P
1030 S   10  B
1040 Q   10  B
1050 (IDLE) 20  I
1070 S   20  P
1090 Q   20  P
1110 S   20  P
1130 Q   20  P
1150 S   10  B
1160 Q   10  T
1170 (IDLE) 20  I
1190 S   20  P
1210 S   20  P
1230 S   10  B
1240 (IDLE) 30  I
1270 S   20  P
1290 S   20  P
1310 S   10  B
1320 (IDLE) 30  I
1350 S   20  P
1370 S   20  P
1390 S   10  T
Average turnaround time: 970.0
